directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Commerce et Service,Description à venir,rue des Hoeules 57,villers,"rue des Hoeules 57, 6460 villers",50.030637,chimay,4.261994,6460.0,Interieur Passion,60456385,https://www.facebook.com/pages/category/Home-Improvement/Int%C3%A9rieur-Passion-2453344994680504/,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3636"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/interieurtendance-300x200.jpg"" alt="""" width=""300"" height=""200"" />Description à venir",Zoning Industriel 7a,baileux,"Zoning Industriel 7a, 6464 BAILEUX",50.035664,baileux,4.379526,6464.0,Interieur Tendance,0491/39 56 68,https://www.facebook.com/interieur.tendance,A venir
Resto et Snack,Description à venir,rue de la gare 49,chimay,"rue de la gare 49, 6460 Chimay",50.033235,chimay,4.264719,6460.0,Just Traiteur,0472/619229,https://www.facebook.com/justtraiteur,A venir
Commerce et Service,Description à venir,Les Fermes 70,bailievre,"Les Fermes 70, 6460 BAILIEVRE",50.072106,bailievre,4.234756,6460.0,La Baie Du Lievre,060/21 21 44,A venir,A venir
Commerce et Service,Description à venir,"Rue Virelles,18a",chimay,"Rue Virelles,18a, 6460 CHIMAY",50.049104,chimay,4.320699,6460.0,La Berceuse,060/21 4 240,https://www.facebook.com/La-Berceuse-196449573710128,A venir
Commerce et Service,Description à venir,Rue Albert Dumont 59,lompret,"Rue Albert Dumont 59, 6463 LOMPRET",50.088211,lompret,4.380982,6463.0,La Boerderij,0478/93 21 03,A venir,A venir
Resto et Snack,Description à venir,Rue du Rond Point,forges,"Rue du Rond Point, 6464 FORGES",49.994197,forges,4.314321,6464.0,La Camargue,060/21 18 02,A venir,A venir
Resto et Snack,Description à venir,Place Froissart 8,chimay,"Place Froissart 8, 6460 CHIMAY",50.047527,chimay,4.314809,6460.0,La Charlotte,060/21 21 00,https://www.facebook.com/lacharlotte.chimay,A venir
Resto et Snack,Description à venir,Grand-Place 16,chimay,"Grand-Place 16, 6460 CHIMAY",50.048741,chimay,4.314232,6460.0,La Chimassiette,060/21.90.42,https://www.facebook.com/lachimassiette,A venir
Resto et Snack,Description à venir,Rte des Deux Parcs 2,chimay,"Rte des Deux Parcs 2, 6460 CHIMAY",50.084453,chimay,4.266021,6460.0,La  Foulque,060/21 17 35,A venir,A venir
Resto et Snack,Description à venir,"Rue de Virelles, 18b",chimay,"Rue de Virelles, 18b, 6460 CHIMAY",50.049156,chimay,4.320624,6460.0,La Fringale,"0472/42,68,95",https://www.facebook.com/AlFringale,A venir
animaux,Description à venir,"Rue Robert Willame,161",forges,"Rue Robert Willame,161, 6464 FORGES",50.02427,forges,4.32434,6464.0,La Maison Du Pecheur,060 21 19 14 ou 0479/30 53 26,https://www.facebook.com/La-maison-du-p%C3%AAcheur-259477884976905,A venir
Resto et Snack,Description à venir,"Place Léopold, 7",chimay,"Place Léopold, 7, 6460 CHIMAY",50.047093,chimay,4.318598,6460.0,La Malterie,060/21 32 30,https://www.facebook.com/lamalteriechimay/,A venir
